[2025-07-19 18:33:04] [INFO    ] discord.client: logging in using static token
[2025-07-19 18:33:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Yoimiya', 'primary_guild': None, 'mfa_enabled': False, 'id': '1394877805241696328', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4246', 'clan': None, 'bot': True, 'avatar': '95f18a9a36a6cb0d5c4af5ac3d3637cf'}, 'session_type': 'normal', 'session_id': '4a6e6002fffb2c75b135c01f52d6d553', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1393212823689232464'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'dubai', 'singapore', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1394877805241696328', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-m9cm",{"micros":91425,"calls":["id_created",{"micros":389,"calls":[]},"session_lookup_time",{"micros":959,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-135",{"micros":89715,"calls":["start_session",{"micros":66025,"calls":["discord-api-rpc-7485b88df9-lr2kg",{"micros":41097,"calls":["get_user",{"micros":6345},"get_guilds",{"micros":3266},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":388},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":9315},"apex_experiments",{"micros":5821},"user_activities",{"micros":6},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":48,"calls":[]},"presence_started",{"micros":14548,"calls":[]},"guilds_started",{"micros":72,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9001,"calls":[]},"connect_finished",{"micros":9005,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:06] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4a6e6002fffb2c75b135c01f52d6d553).
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-19 18:33:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'rules_channel_id': None, 'afk_timeout': 300, 'afk_channel_id': None, 'premium_progress_bar_enabled': False, 'embedded_activities': [], 'max_members': 2500000, 'profile': None, 'voice_states': [{'user_id': '760134323906150431', 'suppress': False, 'session_id': '082f6251c1d337bd06e98452e93c7d8a', 'self_video': False, 'self_stream': True, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1393212824133566615'}, {'user_id': '880462500909432852', 'suppress': False, 'session_id': 'fd551ad0c66b21a0b3b080f6646675a8', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1393212824133566615'}, {'user_id': '978304668520312842', 'suppress': False, 'session_id': '13bdb61660730fa9325b323f8ca8645a', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1393212824133566615'}], 'large': False, 'presences': [], 'banner': None, 'id': '1393212823689232464', 'owner_configured_content_level': 0, 'name': "Bhairab Nath's server", 'application_id': None, 'threads': [], 'max_video_channel_users': 25, 'emojis': [], 'channels': [{'version': 1752238221897, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1393212823689232465', 'flags': 0}, {'version': 1752238221901, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1393212823689232466', 'flags': 0}, {'version': 1752238221909, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1393212823689232465', 'name': 'general', 'last_message_id': '1395442322975621314', 'id': '1393212823689232467', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752238221922, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1393212823689232466', 'name': 'General', 'last_message_id': '1394260767498440796', 'id': '1393212824133566615', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1752312693160, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1393212823689232465', 'name': 'meowmeow', 'last_message_id': '1395437687011545220', 'id': '1393525178989809704', 'flags': 0}, {'version': 1752313965570, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1393212823689232466', 'name': 'Agent1', 'last_message_id': '1393930457002807397', 'id': '1393530516027740251', 'flags': 0, 'bitrate': 64000}, {'version': 1752313990598, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1393212823689232466', 'name': 'Agent2', 'last_message_id': '1393642325338619964', 'id': '1393530621015621642', 'flags': 0, 'bitrate': 64000}, {'version': 1752314004139, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1393212823689232466', 'name': 'Agent3', 'last_message_id': None, 'id': '1393530652753920011', 'flags': 0, 'bitrate': 64000}, {'version': 1752585438088, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1393212823689232465', 'name': 'playground', 'last_message_id': '1396111267420438631', 'id': '1394669154304397322', 'flags': 0}], 'joined_at': '2025-07-16T03:07:39.673000+00:00', 'system_channel_flags': 0, 'explicit_content_filter': 0, 'lazy': True, 'description': None, 'owner_id': '1393209422809141248', 'moderator_reporting': None, 'guild_scheduled_events': [], 'soundboard_sounds': [{'volume': 1.0, 'user_id': '760134323906150431', 'sound_id': '1393985437600583680', 'name': 'Meow Meow', 'guild_id': '1393212823689232464', 'emoji_name': None, 'emoji_id': None, 'available': True}], 'incidents_data': None, 'discovery_splash': None, 'member_count': 13, 'splash': None, 'home_header': None, 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'stickers': [], 'roles': [{'version': 1752315953632, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1393212823689232464', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752585353098, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '8', 'name': 'new role', 'mentionable': False, 'managed': False, 'id': '1393521425385652314', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752585353095, 'unicode_emoji': None, 'tags': {'bot_id': '1393249544011124837'}, 'position': 2, 'permissions': '8', 'name': 'meowmeow', 'mentionable': False, 'managed': True, 'id': '1393523677022257246', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752585353541, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8', 'name': 'administrator', 'mentionable': False, 'managed': False, 'id': '1394668694050836512', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752635259656, 'unicode_emoji': None, 'tags': {'bot_id': '1394877805241696328'}, 'position': 1, 'permissions': '8', 'name': 'Yoimiya', 'mentionable': False, 'managed': True, 'id': '1394878120707883094', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'activity_instances': [], 'features': ['SOUNDBOARD'], 'region': 'deprecated', 'premium_features': None, 'inventory_settings': None, 'icon': None, 'latest_onboarding_question_id': None, 'verification_level': 0, 'preferred_locale': 'en-US', 'default_message_notifications': 0, 'hub_type': None, 'unavailable': False, 'premium_subscription_count': 0, 'mfa_level': 0, 'application_command_counts': {}, 'stage_instances': [], 'max_stage_video_channel_users': 50, 'nsfw': False, 'system_channel_id': '1393212823689232467', 'version': 1752238496665, 'members': [{'user': {'username': 'fanoalone', 'public_flags': 0, 'primary_guild': None, 'id': '978304668520312842', 'global_name': 'FanoAlone', 'display_name': 'FanoAlone', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd81de0fb8a9251467adf3d244837e2c5'}, 'roles': ['1394668694050836512'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T10:55:27.515000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ai_yoush', 'public_flags': 0, 'primary_guild': None, 'id': '880462500909432852', 'global_name': 'AI YOUSH', 'display_name': 'AI YOUSH', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7bbac7b8da98d85566baefc430fa8700'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T12:51:02.752000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'asresta200', 'public_flags': 0, 'primary_guild': None, 'id': '760134323906150431', 'global_name': 'Anish', 'display_name': 'Anish', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '36ad546b34317c522c14aa88ab210828'}, 'roles': ['1394668694050836512', '1393521425385652314'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T12:55:38.308000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Yoimiya', 'public_flags': 0, 'primary_guild': None, 'id': '1394877805241696328', 'global_name': None, 'display_name': None, 'discriminator': '4246', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '95f18a9a36a6cb0d5c4af5ac3d3637cf'}, 'roles': ['1394878120707883094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-16T03:07:39.673000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'asresta200', 'public_flags': 0, 'primary_guild': None, 'id': '760134323906150431', 'global_name': 'Anish', 'display_name': 'Anish', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '36ad546b34317c522c14aa88ab210828'}, 'roles': ['1394668694050836512', '1393521425385652314'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T12:55:38.308000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ai_yoush', 'public_flags': 0, 'primary_guild': None, 'id': '880462500909432852', 'global_name': 'AI YOUSH', 'display_name': 'AI YOUSH', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7bbac7b8da98d85566baefc430fa8700'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T12:51:02.752000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'fanoalone', 'public_flags': 0, 'primary_guild': None, 'id': '978304668520312842', 'global_name': 'FanoAlone', 'display_name': 'FanoAlone', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd81de0fb8a9251467adf3d244837e2c5'}, 'roles': ['1394668694050836512'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T10:55:27.515000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'nsfw_level': 0, 'premium_tier': 0, 'public_updates_channel_id': None}}
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-19 18:33:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '978304668520312842', 'timestamp': 1752929286, 'member': {'user': {'username': 'fanoalone', 'public_flags': 0, 'primary_guild': None, 'id': '978304668520312842', 'global_name': 'FanoAlone', 'display_name': 'FanoAlone', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd81de0fb8a9251467adf3d244837e2c5'}, 'roles': ['1394668694050836512'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T10:55:27.515000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1394669154304397322', 'guild_id': '1393212823689232464'}}
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-19 18:33:06] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-19 18:33:08] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-19 18:33:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-19T12:48:12.319000+00:00', 'pinned': False, 'nonce': '1396111382276997120', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1394668694050836512'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T10:55:27.515000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1396111383489286174', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!play choke me like you hate me', 'components': [], 'channel_type': 0, 'channel_id': '1394669154304397322', 'author': {'username': 'fanoalone', 'public_flags': 0, 'primary_guild': None, 'id': '978304668520312842', 'global_name': 'FanoAlone', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'd81de0fb8a9251467adf3d244837e2c5'}, 'attachments': [], 'guild_id': '1393212823689232464'}}
[2025-07-19 18:33:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:12] [DEBUG   ] discord.client: Dispatching event message
[2025-07-19 18:33:12] [DEBUG   ] discord.client: Dispatching event command
[2025-07-19 18:33:12] [INFO    ] discord.voice_state: Connecting to voice...
[2025-07-19 18:33:12] [INFO    ] discord.voice_state: Starting voice handshake... (connection attempt 1)
[2025-07-19 18:33:12] [DEBUG   ] discord.gateway: Updating our voice state to {'op': 4, 'd': {'guild_id': 1393212823689232464, 'channel_id': 1393212824133566615, 'self_mute': False, 'self_deaf': False}}.
[2025-07-19 18:33:12] [DEBUG   ] discord.voice_state: Connection state changed to set_guild_voice_state
[2025-07-19 18:33:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 5, 'op': 0, 'd': {'member': {'user': {'username': 'Yoimiya', 'public_flags': 0, 'primary_guild': None, 'id': '1394877805241696328', 'global_name': None, 'display_name': None, 'discriminator': '4246', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '95f18a9a36a6cb0d5c4af5ac3d3637cf'}, 'roles': ['1394878120707883094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-16T03:07:39.673000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1394877805241696328', 'suppress': False, 'session_id': '4a6e6002fffb2c75b135c01f52d6d553', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1393212823689232464', 'deaf': False, 'channel_id': '1393212824133566615'}}
[2025-07-19 18:33:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:12] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-07-19 18:33:12] [DEBUG   ] discord.voice_state: Connection state changed to got_voice_state_update
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_SERVER_UPDATE', 's': 6, 'op': 0, 'd': {'token': 'd59679545f8a7d00', 'guild_id': '1393212823689232464', 'endpoint': 'india10035.discord.media:443'}}
[2025-07-19 18:33:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Connection state changed to got_both_voice_updates
[2025-07-19 18:33:13] [INFO    ] discord.voice_state: Voice handshake complete. Endpoint found: india10035.discord.media
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 0, 'd': {'server_id': '1393212823689232464', 'user_id': '1394877805241696328', 'session_id': '4a6e6002fffb2c75b135c01f52d6d553', 'token': 'd59679545f8a7d00'}}.
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Connection state changed to websocket_connected
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 8, 'd': {'v': 4, 'heartbeat_interval': 13750.0}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 2, 'd': {'streams': [{'type': 'video', 'ssrc': 391277, 'rtx_ssrc': 391278, 'rid': '', 'quality': 0, 'active': False}], 'ssrc': 391276, 'port': 50006, 'modes': ['aead_aes256_gcm_rtpsize', 'aead_aes256_gcm', 'aead_xchacha20_poly1305_rtpsize', 'xsalsa20_poly1305_lite_rtpsize', 'xsalsa20_poly1305_lite', 'xsalsa20_poly1305_suffix', 'xsalsa20_poly1305'], 'ip': '34.0.227.135', 'experiments': ['fixed_keyframe_interval']}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Connecting to voice socket
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Sending ip discovery packet
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Registering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x00000257537487C0>
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Unregistering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x00000257537487C0>
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Received ip discovery packet: b'\x00\x02\x00F\x00\x05\xf8l103.190.40.200\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00C\xbc'
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: detected ip: 103.190.40.200 port: 17340
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: received supported encryption modes: aead_xchacha20_poly1305_rtpsize, xsalsa20_poly1305_lite, xsalsa20_poly1305_suffix, xsalsa20_poly1305
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 1, 'd': {'protocol': 'udp', 'data': {'address': '103.190.40.200', 'port': 17340, 'mode': 'aead_xchacha20_poly1305_rtpsize'}}}.
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: selected the voice protocol for use (aead_xchacha20_poly1305_rtpsize)
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Connection state changed to got_ip_discovery
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 11, 'd': {'user_ids': ['760134323906150431', '880462500909432852', '978304668520312842']}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 5, 'd': {'user_id': '880462500909432852', 'ssrc': 386829, 'speaking': 1}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 18, 'd': {'user_id': '760134323906150431', 'flags': 2}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 18, 'd': {'user_id': '880462500909432852', 'flags': 2}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 18, 'd': {'user_id': '978304668520312842', 'flags': 2}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 20, 'd': {'user_id': '760134323906150431', 'platform': 0}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 20, 'd': {'user_id': '880462500909432852', 'platform': 0}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 20, 'd': {'user_id': '978304668520312842', 'platform': 0}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 4, 'd': {'video_codec': 'H264', 'secure_frames_version': 0, 'secret_key': [156, 47, 232, 17, 108, 78, 131, 98, 235, 253, 83, 225, 81, 132, 221, 129, 111, 39, 17, 65, 180, 43, 101, 93, 164, 56, 119, 181, 136, 78, 205, 119], 'mode': 'aead_xchacha20_poly1305_rtpsize', 'media_session_id': '119370a8b87232fc787d4ca4ff742be3', 'dave_protocol_version': 0, 'audio_codec': 'opus'}}
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: received secret key for voice connection
[2025-07-19 18:33:13] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 5, 'd': {'speaking': 0, 'delay': 0, 'ssrc': 391276}}.
[2025-07-19 18:33:13] [DEBUG   ] discord.voice_state: Connection state changed to connected
[2025-07-19 18:33:13] [INFO    ] discord.voice_state: Voice connection complete.
[2025-07-19 18:33:18] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1752929298495.
